Test Cases,Error Averages
1000,0.015377989905353244
5000,0.00915281048881423
10000,0.005770044976377726
20000,0.004254286235799904
35000,0.0032641131735279298
50000,0.0032839160069786013
65000,0.00231051462811441
80000,0.0019386000748115642
100000,0.001648856254029491
